poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max	avg_coord_queue[s]	mac_percentage_dropped
20	50	0.523	0.048	0.778	0.095	0.034	0.141	0.852	0.312
25	50	0.036	0.020	0.053	0.154	0.049	0.245	0.018	0.089
30	50	0.634	0.022	1.023	0.073	0.048	0.117	0.893	0.312
35	50	0.035	0.022	0.050	0.498	0.467	0.546	0.018	0.044
40	50	0.050	0.034	0.068	0.065	0.005	0.173	0.027	0.044
45	50	0.040	0.029	0.054	0.013	0.005	0.027	0.020	0.044
50	50	0.048	0.023	0.071	0.076	0.005	0.129	0.024	0.044
55	50	0.065	0.032	0.090	0.006	0.004	0.009	0.034	0.044
60	50	0.055	0.023	0.081	0.032	0.004	0.075	0.028	0.089
65	50	0.063	0.037	0.085	0.004	0.004	0.004	0.034	0.044
70	50	0.053	0.038	0.068	0.004	0.004	0.004	0.029	0.044
75	50	0.070	0.026	0.103	0.006	0.004	0.008	0.036	0.488
80	50	0.059	0.038	0.078	0.004	0.004	0.005	0.033	0.044
85	50	0.093	0.047	0.125	0.007	0.004	0.010	0.051	0.044
90	50	0.063	0.048	0.078	0.009	0.004	0.017	0.036	0.044
95	50	0.088	0.052	0.115	0.004	0.004	0.004	0.049	0.044
100	50	0.082	0.023	0.121	0.113	0.004	0.216	0.041	0.044
105	50	0.070	0.059	0.084	0.456	0.421	0.480	0.040	0.044
110	50	0.093	0.058	0.118	0.004	0.004	0.004	0.053	0.044
115	50	0.115	0.062	0.150	0.004	0.004	0.004	0.064	0.044
120	50	0.155	0.083	0.201	0.042	0.004	0.089	0.087	0.044
125	50	0.083	0.068	0.098	0.006	0.004	0.008	0.049	0.044
130	50	0.096	0.068	0.118	0.004	0.004	0.004	0.056	0.044
135	50	0.115	0.074	0.144	0.004	0.004	0.004	0.065	0.044
140	50	0.139	0.078	0.178	0.005	0.004	0.006	0.079	0.044
145	50	0.154	0.076	0.200	0.005	0.004	0.005	0.086	0.044
150	50	0.115	0.023	0.171	0.004	0.004	0.004	0.058	0.044
155	50	0.098	0.082	0.117	0.004	0.004	0.004	0.058	0.044
160	50	0.099	0.078	0.118	0.004	0.004	0.004	0.059	0.044
165	50	0.120	0.089	0.144	0.005	0.004	0.006	0.070	0.044
170	50	0.136	0.089	0.168	0.005	0.004	0.006	0.079	0.044
175	50	0.154	0.093	0.193	0.005	0.004	0.006	0.089	0.044
180	50	0.153	0.078	0.198	0.006	0.004	0.010	0.086	0.044
185	50	0.182	0.096	0.234	0.004	0.004	0.004	0.103	0.044
190	50	0.199	0.098	0.258	0.004	0.004	0.004	0.113	0.044
195	50	0.214	0.103	0.278	0.004	0.004	0.004	0.119	0.044
200	50	0.248	0.123	0.321	0.004	0.004	0.004	0.140	0.044
205	50	0.236	0.106	0.312	0.004	0.004	0.004	0.131	0.044
210	50	0.123	0.108	0.138	0.004	0.004	0.004	0.076	0.044
215	50	0.134	0.111	0.154	0.004	0.004	0.004	0.082	0.044
220	50	0.153	0.118	0.178	0.004	0.004	0.004	0.093	0.044
225	50	0.138	0.093	0.168	0.004	0.004	0.004	0.081	0.044
230	50	0.172	0.118	0.208	0.004	0.004	0.004	0.102	0.044
235	50	0.186	0.122	0.226	0.007	0.004	0.012	0.109	0.044
240	50	0.272	0.198	0.318	0.006	0.004	0.011	0.166	0.044
245	50	0.209	0.126	0.259	0.004	0.004	0.004	0.121	0.044
250	50	0.213	0.118	0.268	0.004	0.004	0.004	0.122	0.044
255	50	0.233	0.133	0.292	0.005	0.004	0.006	0.133	0.044
260	50	0.252	0.138	0.318	0.004	0.004	0.004	0.146	0.044
265	50	0.265	0.140	0.337	0.004	0.004	0.005	0.152	0.489
270	50	0.273	0.138	0.348	0.004	0.004	0.004	0.156	0.044
275	50	0.288	0.143	0.368	0.004	0.004	0.004	0.164	0.044
280	50	0.312	0.158	0.398	0.004	0.004	0.004	0.179	0.044
285	50	0.311	0.149	0.400	0.004	0.004	0.004	0.175	0.044
290	50	0.322	0.148	0.418	0.004	0.004	0.004	0.182	0.089
295	50	0.335	0.152	0.435	0.004	0.004	0.004	0.189	0.044
300	50	0.215	0.023	0.321	0.004	0.004	0.004	0.107	0.044
305	50	0.361	0.157	0.472	0.004	0.004	0.004	0.202	0.044
310	50	0.179	0.158	0.205	0.004	0.004	0.004	0.110	0.044
315	50	0.173	0.163	0.187	0.004	0.004	0.004	0.108	0.044
320	50	0.179	0.158	0.198	0.004	0.004	0.004	0.113	0.044
325	50	0.196	0.168	0.218	0.004	0.004	0.004	0.122	0.044
330	50	0.203	0.168	0.228	0.004	0.004	0.004	0.126	0.044
335	50	0.212	0.172	0.241	0.004	0.004	0.004	0.131	0.044
340	50	0.226	0.178	0.258	0.004	0.004	0.004	0.139	0.044
345	50	0.230	0.179	0.264	0.004	0.004	0.004	0.139	0.044
350	50	0.229	0.168	0.268	0.005	0.004	0.006	0.139	0.044
355	50	0.249	0.181	0.291	0.004	0.004	0.004	0.150	0.044
360	50	0.273	0.198	0.317	0.006	0.004	0.010	0.166	0.044
365	50	0.265	0.185	0.313	0.004	0.004	0.004	0.159	0.044
370	50	0.275	0.188	0.327	0.004	0.004	0.004	0.165	0.044
375	50	0.262	0.168	0.318	0.004	0.004	0.004	0.156	0.044
380	50	0.299	0.198	0.358	0.004	0.004	0.004	0.179	0.044
385	50	0.303	0.197	0.365	0.004	0.004	0.004	0.180	0.044
390	50	0.313	0.199	0.378	0.004	0.004	0.005	0.186	0.044
395	50	0.322	0.202	0.390	0.004	0.004	0.004	0.190	0.044
400	50	0.246	0.118	0.318	0.004	0.004	0.004	0.139	0.044
405	50	0.342	0.211	0.417	0.004	0.004	0.004	0.201	0.044
410	50	0.350	0.209	0.429	0.004	0.004	0.004	0.206	0.044
415	50	0.359	0.212	0.440	0.004	0.004	0.004	0.211	0.089
420	50	0.352	0.198	0.438	0.004	0.004	0.004	0.205	0.044
425	50	0.379	0.218	0.468	0.004	0.004	0.004	0.222	0.044
430	50	0.385	0.218	0.478	0.004	0.004	0.004	0.225	0.044
435	50	0.395	0.224	0.489	0.004	0.004	0.004	0.229	0.089
440	50	0.419	0.238	0.517	0.004	0.004	0.004	0.245	0.044
445	50	0.414	0.227	0.516	0.004	0.004	0.004	0.240	0.044
450	50	0.362	0.168	0.468	0.004	0.004	0.004	0.205	0.044
455	50	0.432	0.232	0.541	0.004	0.004	0.005	0.251	0.044
460	50	0.446	0.238	0.558	0.004	0.004	0.004	0.259	0.044
465	50	0.450	0.239	0.564	0.004	0.004	0.004	0.259	0.044
470	50	0.459	0.238	0.578	0.004	0.004	0.004	0.265	0.044
475	50	0.470	0.243	0.592	0.004	0.004	0.004	0.272	0.044
480	50	0.552	0.318	0.677	0.004	0.004	0.005	0.325	0.044
485	50	0.485	0.245	0.613	0.004	0.004	0.004	0.279	0.044
490	50	0.495	0.248	0.627	0.004	0.004	0.004	0.285	0.044
495	50	0.504	0.253	0.637	0.005	0.004	0.006	0.289	0.044
500	50	0.479	0.218	0.617	0.004	0.004	0.004	0.272	0.044
505	50	0.521	0.255	0.662	0.004	0.004	0.004	0.298	0.044
510	50	0.532	0.258	0.677	0.005	0.004	0.006	0.305	0.044
515	50	0.541	0.261	0.689	0.004	0.004	0.004	0.310	0.044
520	50	0.565	0.278	0.717	0.004	0.004	0.005	0.325	0.044
525	50	0.537	0.243	0.692	0.004	0.004	0.004	0.305	0.044
530	50	0.569	0.268	0.728	0.004	0.004	0.004	0.325	0.044
535	50	0.577	0.271	0.739	0.004	0.004	0.004	0.329	0.044
540	50	0.572	0.258	0.738	0.004	0.004	0.004	0.325	0.044
545	50	0.596	0.276	0.764	0.004	0.004	0.004	0.339	0.044
550	50	0.596	0.268	0.768	0.004	0.004	0.004	0.338	0.044
555	50	0.613	0.283	0.787	0.004	0.004	0.004	0.348	0.044
560	50	0.619	0.278	0.797	0.004	0.004	0.004	0.352	0.044
565	50	0.632	0.286	0.813	0.004	0.004	0.004	0.359	0.044
570	50	0.642	0.288	0.827	0.004	0.004	0.004	0.365	0.044
575	50	0.654	0.294	0.843	0.004	0.004	0.004	0.372	0.044
580	50	0.664	0.297	0.857	0.004	0.004	0.004	0.378	0.089
585	50	0.670	0.298	0.864	0.004	0.004	0.004	0.379	0.044
590	50	0.677	0.296	0.876	0.004	0.004	0.004	0.383	0.044
595	50	0.683	0.297	0.883	0.004	0.004	0.004	0.386	0.044
600	50	0.714	0.323	0.919	0.004	0.004	0.004	0.406	0.044
605	50	2.958	2.561	3.165	0.004	0.004	0.004	2.554	0.045
610	50	1.411	1.006	1.621	0.004	0.004	0.004	1.022	0.044
615	50	0.823	0.446	1.024	0.004	0.004	0.004	0.499	0.044
620	50	0.348	0.318	0.389	0.004	0.004	0.004	0.219	0.044
625	50	0.339	0.319	0.365	0.004	0.004	0.004	0.216	0.044
630	50	0.333	0.318	0.348	0.004	0.004	0.004	0.216	0.044
635	50	0.340	0.322	0.357	0.004	0.004	0.004	0.220	0.044
640	50	0.339	0.318	0.358	0.004	0.004	0.004	0.219	0.044
645	50	0.352	0.329	0.371	0.004	0.004	0.004	0.226	0.044
650	50	0.346	0.318	0.368	0.004	0.004	0.004	0.222	0.044
655	50	0.361	0.332	0.384	0.004	0.004	0.004	0.231	0.044
660	50	0.352	0.318	0.378	0.004	0.004	0.004	0.225	0.044
665	50	0.372	0.335	0.398	0.004	0.004	0.004	0.237	0.044
670	50	0.379	0.338	0.407	0.004	0.004	0.004	0.242	0.044
675	50	0.363	0.318	0.393	0.004	0.004	0.004	0.231	0.044
680	50	0.406	0.358	0.438	0.004	0.004	0.004	0.259	0.044
685	50	0.396	0.346	0.430	0.004	0.004	0.004	0.252	0.044
690	50	0.403	0.349	0.438	0.004	0.004	0.004	0.256	0.044
695	50	0.410	0.353	0.447	0.004	0.004	0.004	0.260	0.044
700	50	0.379	0.318	0.418	0.005	0.004	0.006	0.239	0.044
705	50	0.416	0.357	0.450	0.007	0.004	0.012	0.263	0.044
710	50	0.425	0.357	0.468	0.004	0.004	0.004	0.268	0.044
715	50	0.432	0.362	0.476	0.005	0.004	0.006	0.272	0.044
720	50	0.514	0.438	0.559	0.006	0.004	0.010	0.325	0.044
725	50	0.448	0.368	0.496	0.004	0.004	0.005	0.281	0.044
730	50	0.449	0.368	0.498	0.004	0.004	0.004	0.282	0.044
735	50	0.456	0.374	0.506	0.004	0.004	0.004	0.285	0.044
740	50	0.465	0.378	0.518	0.004	0.004	0.004	0.292	0.044
745	50	0.468	0.377	0.521	0.004	0.004	0.004	0.292	0.044
750	50	0.413	0.318	0.469	0.004	0.004	0.004	0.256	0.044
755	50	0.478	0.381	0.534	0.004	0.004	0.004	0.298	0.044
760	50	0.499	0.398	0.558	0.004	0.004	0.004	0.312	0.044
765	50	0.488	0.388	0.547	0.004	0.004	0.004	0.303	0.044
770	50	0.496	0.389	0.559	0.004	0.004	0.004	0.309	0.044
775	50	0.505	0.394	0.569	0.004	0.004	0.004	0.314	0.044
780	50	0.493	0.379	0.559	0.004	0.004	0.005	0.305	0.044
785	50	0.514	0.397	0.580	0.004	0.004	0.004	0.318	0.044
790	50	0.519	0.398	0.588	0.004	0.004	0.004	0.322	0.044
795	50	0.556	0.431	0.629	0.004	0.004	0.004	0.352	0.489
800	50	0.446	0.318	0.518	0.004	0.004	0.004	0.272	0.044
805	50	0.536	0.407	0.610	0.004	0.004	0.004	0.331	0.044
810	50	0.544	0.409	0.620	0.004	0.004	0.004	0.336	0.044
815	50	0.549	0.412	0.626	0.004	0.004	0.004	0.339	0.044
820	50	0.559	0.418	0.638	0.004	0.004	0.004	0.345	0.044
825	50	0.538	0.393	0.618	0.004	0.004	0.004	0.330	0.044
830	50	0.565	0.418	0.647	0.004	0.004	0.004	0.348	0.089
835	50	0.572	0.423	0.655	0.004	0.004	0.004	0.352	0.044
840	50	0.592	0.438	0.677	0.004	0.004	0.004	0.365	0.044
845	50	0.581	0.426	0.667	0.004	0.004	0.004	0.356	0.044
850	50	0.578	0.418	0.667	0.004	0.004	0.004	0.355	0.044
855	50	0.594	0.433	0.683	0.004	0.004	0.004	0.363	0.044
860	50	0.605	0.438	0.697	0.004	0.004	0.004	0.372	0.044
865	50	0.607	0.437	0.700	0.004	0.004	0.004	0.372	0.044
870	50	0.612	0.438	0.707	0.004	0.004	0.004	0.375	0.089
875	50	0.621	0.443	0.717	0.004	0.004	0.004	0.380	0.044
880	50	0.618	0.438	0.717	0.004	0.004	0.004	0.378	0.044
885	50	0.627	0.447	0.725	0.004	0.004	0.004	0.381	0.044
890	50	0.636	0.448	0.738	0.004	0.004	0.004	0.388	0.044
895	50	0.644	0.454	0.747	0.004	0.004	0.004	0.393	0.044
900	50	0.513	0.318	0.618	0.004	0.004	0.004	0.305	0.044
905	50	0.652	0.456	0.759	0.004	0.004	0.004	0.398	0.044
910	50	0.659	0.459	0.768	0.004	0.004	0.004	0.402	0.044
915	50	0.665	0.464	0.774	0.004	0.004	0.004	0.404	0.044
920	50	0.685	0.478	0.797	0.004	0.004	0.004	0.419	0.044
925	50	0.679	0.468	0.793	0.004	0.004	0.004	0.414	0.044
930	50	0.683	0.469	0.798	0.004	0.004	0.004	0.416	0.044
935	50	0.689	0.473	0.806	0.004	0.004	0.005	0.419	0.044
940	50	0.699	0.478	0.818	0.004	0.004	0.004	0.426	0.044
945	50	0.702	0.481	0.822	0.004	0.004	0.004	0.427	0.044
950	50	0.696	0.469	0.818	0.004	0.004	0.004	0.423	0.044
955	50	0.711	0.482	0.834	0.004	0.004	0.004	0.433	0.044
960	50	0.793	0.559	0.918	0.004	0.004	0.004	0.491	0.044
965	50	0.724	0.487	0.850	0.004	0.004	0.004	0.441	0.044
970	50	0.729	0.488	0.858	0.005	0.004	0.008	0.445	0.044
975	50	0.712	0.467	0.842	0.004	0.004	0.004	0.432	0.044
980	50	0.745	0.497	0.877	0.004	0.004	0.004	0.456	0.044
985	50	0.748	0.498	0.881	0.004	0.004	0.004	0.457	0.044
990	50	0.751	0.497	0.887	0.004	0.004	0.004	0.460	0.044
995	50	0.757	0.501	0.893	0.004	0.004	0.004	0.463	0.044
1000	50	0.779	0.518	0.917	0.004	0.004	0.004	0.479	0.044
1005	50	0.773	0.511	0.912	0.004	0.004	0.004	0.473	0.044
1010	50	0.775	0.507	0.917	0.004	0.004	0.004	0.475	0.044
1015	50	0.782	0.512	0.925	0.004	0.004	0.004	0.480	0.044
1020	50	0.773	0.498	0.918	0.004	0.004	0.004	0.473	0.044
1025	50	0.794	0.517	0.941	0.004	0.004	0.004	0.489	0.044
1030	50	0.799	0.517	0.948	0.004	0.004	0.004	0.492	0.044
1035	50	0.806	0.524	0.955	0.004	0.004	0.004	0.496	0.044
1040	50	0.806	0.519	0.959	0.004	0.004	0.005	0.497	0.044
1045	50	0.815	0.525	0.968	0.004	0.004	0.004	0.503	0.044
1050	50	0.762	0.468	0.918	0.004	0.004	0.004	0.463	0.044
1055	50	0.828	0.532	0.985	0.004	0.004	0.004	0.513	0.044
1060	50	0.838	0.538	0.997	0.004	0.004	0.004	0.520	0.044
1065	50	0.839	0.538	0.998	0.004	0.004	0.004	0.520	0.044
1070	50	0.845	0.538	1.008	0.004	0.004	0.004	0.526	0.044
1075	50	0.854	0.543	1.018	0.004	0.004	0.004	0.532	0.044
1080	50	0.872	0.558	1.038	0.004	0.004	0.004	0.546	0.044
1085	50	0.864	0.548	1.032	0.004	0.004	0.004	0.540	0.044
1090	50	0.868	0.547	1.038	0.004	0.004	0.004	0.543	0.044
1095	50	0.874	0.552	1.044	0.004	0.004	0.004	0.546	0.044
1100	50	0.845	0.518	1.018	0.004	0.004	0.004	0.524	0.044
1105	50	0.884	0.556	1.057	0.004	0.004	0.004	0.554	0.044
1110	50	0.889	0.556	1.065	0.004	0.004	0.004	0.559	0.089
1115	50	0.895	0.560	1.071	0.004	0.004	0.004	0.562	0.044
1120	50	0.898	0.558	1.076	0.004	0.004	0.004	0.565	0.044
1125	50	0.885	0.542	1.065	0.004	0.004	0.004	0.555	0.044
1130	50	0.913	0.567	1.095	0.004	0.004	0.004	0.577	0.044
1135	50	0.918	0.570	1.101	0.004	0.004	0.004	0.581	0.044
1140	50	0.911	0.558	1.097	0.004	0.004	0.004	0.575	0.044
1145	50	0.933	0.577	1.120	0.004	0.004	0.004	0.593	0.044
1150	50	0.927	0.567	1.116	0.004	0.004	0.004	0.588	0.044
1155	50	0.944	0.584	1.133	0.004	0.004	0.004	0.600	0.044
1160	50	0.961	0.595	1.153	0.004	0.004	0.004	0.615	0.044
1165	50	0.955	0.586	1.149	0.004	0.004	0.004	0.610	0.044
1170	50	0.962	0.589	1.158	0.004	0.004	0.004	0.616	0.044
1175	50	0.967	0.591	1.164	0.004	0.004	0.004	0.620	0.044
1180	50	0.971	0.591	1.170	0.004	0.004	0.004	0.623	0.044
1185	50	0.975	0.595	1.174	0.004	0.004	0.004	0.623	0.489
1190	50	0.990	0.604	1.191	0.004	0.004	0.004	0.638	0.044
1195	50	1.000	0.611	1.203	0.004	0.004	0.004	0.647	0.044
1200	50	1.310	0.918	1.515	0.004	0.004	0.004	0.908	0.044
1205	50	3.184	2.793	3.387	0.004	0.004	0.004	2.776	0.045
1210	50	5.042	4.653	5.245	0.004	0.004	0.004	4.630	0.045
1215	50	6.885	6.498	7.087	0.004	0.004	0.004	6.468	0.045
1220	50	8.714	8.328	8.915	0.004	0.004	0.004	8.291	0.045
1225	50	10.527	10.143	10.727	0.004	0.004	0.004	10.100	0.045
1230	50	12.325	11.943	12.525	0.004	0.004	0.004	11.893	0.046
1235	50	14.109	13.728	14.307	0.004	0.004	0.004	13.671	0.046
1240	50	15.877	15.498	16.075	0.004	0.004	0.004	15.434	0.046
1245	50	17.630	17.253	17.827	0.004	0.004	0.004	17.183	0.046
1250	50	20.591	20.216	20.786	0.004	0.004	0.004	20.135	0.046
1255	50	21.110	20.718	21.315	0.004	0.004	0.004	20.653	0.046
1260	50	22.820	22.428	23.025	0.004	0.004	0.004	22.357	0.047
1265	50	24.515	24.123	24.720	0.004	0.004	0.004	24.047	0.047
1270	50	26.207	25.838	26.399	0.004	0.004	0.004	25.734	0.047
1275	50	27.873	27.506	28.064	0.004	0.004	0.004	27.395	0.047
1280	50	29.550	29.158	29.754	0.004	0.004	0.004	29.067	0.047
1285	50	31.188	30.796	31.392	0.004	0.004	0.004	30.700	0.048
1290	50	32.825	32.463	33.014	0.004	0.004	0.004	32.332	0.048
1295	50	33.204	32.873	33.378	0.004	0.004	0.004	32.695	0.048
1300	50	34.813	34.418	35.018	0.004	0.004	0.004	34.314	0.048
1305	50	36.408	36.048	36.596	0.004	0.004	0.004	35.904	0.048
1310	50	37.971	37.613	38.158	0.004	0.004	0.004	37.462	0.048
1315	50	39.558	39.163	39.763	0.004	0.004	0.004	39.044	0.049
1320	50	41.133	40.758	41.358	0.004	0.004	0.004	40.594	0.049
1325	50	42.675	42.281	42.881	0.004	0.004	0.004	42.151	0.049
1330	50	44.204	43.853	44.388	0.004	0.004	0.004	43.675	0.049
1335	50	45.743	45.348	45.948	0.004	0.004	0.004	45.208	0.049
1340	50	47.246	46.898	47.428	0.004	0.004	0.004	46.707	0.050
1345	50	48.760	48.366	48.966	0.004	0.004	0.004	48.216	0.050
1350	50	50.238	49.893	50.418	0.004	0.004	0.004	49.688	0.050
1355	50	51.728	51.333	51.933	0.004	0.004	0.004	51.173	0.050
1360	50	53.179	52.838	53.358	0.004	0.004	0.004	52.620	0.050
1365	50	54.645	54.251	54.851	0.004	0.004	0.004	54.081	0.051
1370	50	56.071	55.733	56.248	0.004	0.004	0.004	55.501	0.051
1375	50	57.542	57.206	57.718	0.004	0.004	0.004	56.967	0.051
1380	50	58.973	58.578	59.178	0.004	0.004	0.004	58.393	0.051
1385	50	60.361	60.028	60.536	0.004	0.004	0.004	59.776	0.051
1390	50	61.768	61.373	61.973	0.004	0.004	0.004	61.178	0.051
1395	50	63.195	62.801	63.401	0.004	0.004	0.004	62.600	0.052
1400	50	64.546	64.218	64.718	0.004	0.004	0.004	63.946	0.052
1405	50	65.952	65.626	66.123	0.004	0.004	0.004	65.347	0.052
1410	50	67.313	66.918	67.518	0.004	0.004	0.004	66.703	0.052
1415	50	68.626	68.303	68.796	0.004	0.004	0.004	68.011	0.052
1420	50	69.999	69.678	70.168	0.004	0.004	0.004	69.379	0.053
1425	50	71.363	71.043	71.531	0.004	0.004	0.004	70.738	0.053
1430	50	72.678	72.283	72.883	0.004	0.004	0.004	72.048	0.053
1435	50	74.020	73.626	74.226	0.004	0.004	0.004	73.385	0.053
1440	50	75.273	74.958	75.438	0.004	0.004	0.004	74.633	0.053
1445	50	76.593	76.281	76.758	0.004	0.004	0.004	75.948	0.053
1450	50	77.904	77.593	78.068	0.004	0.004	0.004	77.254	0.054
1455	50	79.205	78.896	79.368	0.005	0.004	0.005	78.550	0.054
1460	50	80.453	80.058	80.658	0.004	0.004	0.004	79.792	0.054
1465	50	81.733	81.338	81.938	0.004	0.004	0.004	81.067	0.054
1470	50	83.003	82.608	83.208	0.004	0.004	0.004	82.332	0.054
1475	50	84.263	83.868	84.468	0.004	0.004	0.004	83.587	0.055
1480	50	86.848	86.456	87.053	0.004	0.004	0.004	86.163	0.055
1485	50	86.658	86.358	86.816	0.004	0.004	0.004	85.972	0.055
1490	50	87.886	87.588	88.043	0.004	0.004	0.004	87.196	0.055
1495	50	89.104	88.808	89.261	0.004	0.004	0.004	88.409	0.055
20	100	0.592	0.021	0.928	0.275	0.043	0.728	0.981	0.178
25	100	0.689	0.019	1.075	0.186	0.096	0.284	0.981	0.156
30	100	0.038	0.022	0.055	0.099	0.053	0.164	0.020	0.022
35	100	0.037	0.024	0.052	0.505	0.459	0.559	0.019	0.022
40	100	0.051	0.034	0.069	0.094	0.006	0.238	0.027	0.022
45	100	0.040	0.029	0.054	0.014	0.005	0.030	0.020	0.022
50	100	0.049	0.023	0.071	0.096	0.005	0.174	0.024	0.022
55	100	0.065	0.031	0.090	0.008	0.005	0.012	0.034	0.022
60	100	0.055	0.023	0.081	0.033	0.004	0.082	0.028	0.022
65	100	0.063	0.037	0.085	0.004	0.004	0.004	0.034	0.022
70	100	0.053	0.038	0.068	0.004	0.004	0.004	0.029	0.022
75	100	0.073	0.030	0.105	0.007	0.004	0.010	0.039	0.244
80	100	0.079	0.058	0.098	0.004	0.004	0.005	0.046	0.022
85	100	0.093	0.046	0.124	0.008	0.004	0.015	0.050	0.022
90	100	0.063	0.048	0.078	0.013	0.005	0.027	0.036	0.022
95	100	0.088	0.052	0.115	0.005	0.004	0.006	0.049	0.022
100	100	0.082	0.023	0.122	0.131	0.004	0.245	0.041	0.022
105	100	0.070	0.059	0.084	0.448	0.433	0.469	0.040	0.022
110	100	0.093	0.058	0.118	0.004	0.004	0.005	0.053	0.022
115	100	0.115	0.062	0.150	0.004	0.004	0.004	0.064	0.022
120	100	0.155	0.083	0.201	0.060	0.004	0.137	0.087	0.022
125	100	0.083	0.068	0.098	0.006	0.004	0.009	0.049	0.022
130	100	0.096	0.068	0.118	0.004	0.004	0.004	0.056	0.022
135	100	0.114	0.073	0.143	0.004	0.004	0.004	0.064	0.022
140	100	0.139	0.078	0.178	0.005	0.004	0.006	0.079	0.022
145	100	0.155	0.077	0.201	0.004	0.004	0.005	0.087	0.044
150	100	0.115	0.023	0.171	0.004	0.004	0.004	0.058	0.022
155	100	0.097	0.081	0.115	0.004	0.004	0.004	0.057	0.022
160	100	0.119	0.098	0.138	0.004	0.004	0.004	0.073	0.022
165	100	0.120	0.089	0.144	0.005	0.004	0.006	0.070	0.022
170	100	0.136	0.088	0.168	0.005	0.004	0.006	0.079	0.022
175	100	0.154	0.093	0.193	0.005	0.004	0.006	0.089	0.022
180	100	0.152	0.078	0.198	0.006	0.004	0.010	0.086	0.022
185	100	0.183	0.096	0.234	0.004	0.004	0.004	0.104	0.022
190	100	0.199	0.098	0.258	0.004	0.004	0.004	0.112	0.022
195	100	0.214	0.103	0.277	0.004	0.004	0.004	0.119	0.022
200	100	0.248	0.123	0.320	0.004	0.004	0.004	0.140	0.022
205	100	0.235	0.106	0.312	0.004	0.004	0.004	0.131	0.022
210	100	0.123	0.108	0.138	0.004	0.004	0.004	0.076	0.022
215	100	0.135	0.112	0.155	0.004	0.004	0.004	0.082	0.022
220	100	0.153	0.118	0.178	0.004	0.004	0.004	0.093	0.022
225	100	0.138	0.093	0.168	0.004	0.004	0.004	0.081	0.022
230	100	0.172	0.118	0.208	0.004	0.004	0.004	0.102	0.022
235	100	0.185	0.122	0.225	0.007	0.004	0.012	0.109	0.022
240	100	0.212	0.138	0.258	0.006	0.004	0.010	0.126	0.022
245	100	0.209	0.126	0.259	0.004	0.004	0.004	0.122	0.022
250	100	0.212	0.118	0.268	0.004	0.004	0.004	0.122	0.022
255	100	0.234	0.133	0.292	0.005	0.004	0.006	0.134	0.022
260	100	0.252	0.138	0.318	0.004	0.004	0.004	0.146	0.022
265	100	0.260	0.136	0.330	0.004	0.004	0.005	0.149	0.022
270	100	0.272	0.138	0.348	0.004	0.004	0.004	0.156	0.022
275	100	0.287	0.143	0.368	0.004	0.004	0.004	0.164	0.022
280	100	0.312	0.158	0.397	0.004	0.004	0.004	0.179	0.022
285	100	0.310	0.149	0.399	0.004	0.004	0.004	0.175	0.022
290	100	0.322	0.148	0.418	0.004	0.004	0.004	0.182	0.044
295	100	0.335	0.152	0.435	0.004	0.004	0.004	0.189	0.022
300	100	0.215	0.023	0.321	0.004	0.004	0.004	0.108	0.022
305	100	0.610	0.407	0.721	0.004	0.004	0.004	0.422	0.022
310	100	0.180	0.159	0.207	0.004	0.004	0.004	0.111	0.022
315	100	0.175	0.164	0.190	0.004	0.004	0.004	0.110	0.022
320	100	0.199	0.178	0.218	0.004	0.004	0.004	0.126	0.022
325	100	0.196	0.168	0.218	0.004	0.004	0.004	0.122	0.022
330	100	0.203	0.168	0.228	0.004	0.004	0.004	0.126	0.022
335	100	0.212	0.172	0.240	0.004	0.004	0.004	0.131	0.022
340	100	0.226	0.178	0.258	0.004	0.004	0.004	0.139	0.022
345	100	0.230	0.178	0.263	0.004	0.004	0.004	0.139	0.022
350	100	0.229	0.168	0.268	0.005	0.004	0.006	0.139	0.022
355	100	0.248	0.181	0.290	0.004	0.004	0.004	0.150	0.022
360	100	0.273	0.198	0.318	0.006	0.004	0.010	0.166	0.022
365	100	0.266	0.186	0.314	0.004	0.004	0.004	0.160	0.022
370	100	0.276	0.188	0.328	0.004	0.004	0.004	0.166	0.022
375	100	0.262	0.168	0.318	0.004	0.004	0.004	0.156	0.022
380	100	0.299	0.198	0.358	0.004	0.004	0.004	0.179	0.022
385	100	0.303	0.196	0.364	0.004	0.004	0.004	0.180	0.022
390	100	0.312	0.198	0.378	0.004	0.004	0.005	0.186	0.022
395	100	0.322	0.202	0.390	0.004	0.004	0.004	0.191	0.022
400	100	0.345	0.218	0.418	0.004	0.004	0.004	0.205	0.022
405	100	0.339	0.208	0.413	0.004	0.004	0.004	0.199	0.022
410	100	0.349	0.208	0.428	0.004	0.004	0.004	0.206	0.022
415	100	0.358	0.211	0.439	0.004	0.004	0.005	0.211	0.022
420	100	0.352	0.198	0.438	0.004	0.004	0.004	0.206	0.022
425	100	0.379	0.218	0.468	0.004	0.004	0.004	0.225	0.022
430	100	0.386	0.218	0.478	0.004	0.004	0.004	0.229	0.022
435	100	0.394	0.223	0.488	0.004	0.004	0.004	0.233	0.044
440	100	0.419	0.238	0.517	0.004	0.004	0.004	0.252	0.022
445	100	0.413	0.227	0.515	0.004	0.004	0.004	0.247	0.022
450	100	0.362	0.168	0.468	0.004	0.004	0.004	0.207	0.022
455	100	0.431	0.232	0.539	0.004	0.004	0.004	0.260	0.022
